title,artist,album,duration,videoId
FE!N (feat. Playboi Carti),Travis Scott,,3:30,B9synWjqBn8
SICKO MODE (Official Video),Travis Scott,,5:23,6ONRf7h3Mdk
Mask Off (Official Music Video),Future,,4:50,xvZqHgFz51I
HUMBLE.,Kendrick Lamar,,3:04,tvTRZJ-4EyI
Panda,Desiigner,,4:03,E5ONTXHS2mM
POP SMOKE - DIOR (OFFICIAL VIDEO),Pop Smoke,,2:53,oorVWW9ywG0
Hanumankind – Big Dawgs | Prod. Kalmi (Official Music Video) | Def Jam India,Hanumankind,,3:55,hOHKltAiKXQ
Shake Dat Ass (Twerk Song),BossMan Dlow,,3:47,x24qP3sjrvw
Surround Sound [Official Music ... (feat. 21 Savage & Baby Tate),JID,,4:32,Y19q-7VN2WI
fukumean,Gunna,,2:20,V6ZsXKE8QmQ
In Da Club,50 Cent,,4:08,5qm8PH4xAss
Paint The Town Red,Doja Cat,,4:56,m4_9TFeMfJE
Sprinter,Central Cee & Dave,,3:50,pSY3i5XHHXo
The Box,Roddy Ricch,,3:33,UNZqm3dxd2w
Not Like Us,Kendrick Lamar,,4:34,T6eK-2OQtew
Still D.R.E.,Dr. Dre,,4:51,_CL6n0FJZpk
What You Saying,Lil Uzi Vert,,3:03,s_TUESTU7_4
Lovin On Me,Jack Harlow,,2:20,Iq8h3GEe22o
Wanna Be (feat. Megan Thee Stallion),GloRilla,,2:40,BT_83vSP1es
Freestyle,Lil Baby,,2:56,MHryuYVyHhk
redrum,21 Savage,,4:27,U4mADkt6o-M
tv off (feat. Lefty GunPlay),Kendrick Lamar,,3:41,U8F5G5wR1mk
WHATCHU KNO ABOUT ME,GloRilla,,2:47,Py9S2bD0RZQ
Up,Cardi B,,2:50,rCiBgLOcuKU
MILLION DOLLAR BABY,Tommy Richman,,2:47,Zf1d8SGuxfs
Animals,Maroon 5,V (Asia Tour Edition),3:52,5DF9aRuiOZo
Believer,Imagine Dragons,Evolve,3:25,Kx7B-XvmFtE
Satisfya,Imran Khan,Satisfya,3:01,OfGtIdG09HA
SATISFY,Sidhu Moose Wala,SATISFY,4:41,2JnFDa-bv0Q
Hall of Fame (feat. will.i.am),The Script,Hall of Fame,3:22,snx5qGUtVi8
Remember the Name (feat. Styles of Beyond),Fort Minor,Petrified / Remember the Name,3:51,MJD39Aja1Is
Best of Me,NEFFEX,Best of Me,3:48,cWT8eXUJKMk
NEFFEX - Fight Back [Official Video] No.37,NEFFEX,,3:17,CYDP_8UTAus
Firework,Katy Perry,Teenage Dream,3:48,M51-spaR4qk
Not Afraid,Eminem,Recovery,4:09,-grPV-Fae6I
On My Way,Sabrina Carpenter,World Of Walker,3:14,ZM8rAsTT7yE
Face Off,Dwayne Johnson,,4:23,E9T78bT26sk
SLAVA FUNK!,MVSTERIOUS,SLAVA FUNK!,1:56,YPmxBTPyWBI
NO BATIDÃO (Slowed),ZXKAI,NO BATIDÃO,1:48,zeKCzmAKKP4
MONTAGEM MASETALA PINKU - ZIRECT,"Mar 12, 2026",,1:25,gU0hOLLXisQ
XONADA FUNK,DJ Javi26,XONADA FUNK,1:23,MNlID6psHpI
Montagem Supersonic,KHAOS,Montagem Supersonic,1:28,lM4v4sq8ypo
PASSO BEM SOLTO (Slowed),ATLXS,PASSO BEM SOLTO,1:57,NT4eF9YsYnM
HEAVENLY JUMPSTYLE,TWXNY,HEAVENLY JUMPSTYLE,1:55,pSkW_rR65-g
"1 HOUR BRAZILIAN PHONK / FUNK MIX 2024 ※ AGGRESSIVE PHONK ※ MUSIC PLAYLIST [GYM, AGGRESSIVE, FUNK]",Phonk Time,,48:21,Sh1zT2YDPOk
MENTE MÁ,Mc Staff,MENTE MÁ,1:16,6XagZrLsuog
maldito movimiento,DJ ORBITAL,maldito movimiento,1:55,75XyFG8KpJU
MALA FAMA,TEENWXVE,MALA FAMA,1:51,w_V9upAYDFE
MATUSHKA ULTRAFUNK (Slowed),satirin,MATUSHKA ULTRAFUNK (EP),2:52,nFyZLuMYwEA
MATADORA,DJ Asul,MATADORA,1:29,YIYBhDeQfT0
