title,artist,album,duration,videoId
360 (Arr. For Cello Obligato and String Quartet),Peter Gregson,,2:12,5JYw1z_VtkM
bad guy,Vitamin String Quartet,,3:17,PWUbCwmBmgE
Watermelon Sugar,UNSECRET,,2:56,EfgOW0cxseI
Someone You Loved,"The Piano Guys, Thomas Barnes, Ben Kohn, Lewis Capaldi, Samuel Roman, and Peter Kelleher",,3:36,qMG1BXo8Asg
Royals,Vitamin String Quartet,,3:24,7930mL1cr0s
Despacito,2CELLOS,,3:10,D9LrEXF3USs
Wildest Dreams,Position Music,,3:26,gn7HgzOEdHU
A Thousand Years,Summer Jane White,A Thousand Years,4:24,012-OSyrgXI
abcdefu,Vitula,Bridgerton Season Three (Covers from the Netflix Series),2:54,z9-n03qz6_Y
Creep (Arr. for Piano by Nguyen) (Lullaby Version),Van-Anh Nguyen,Creep (Arr. for Piano) (Lullaby Version),3:56,CzN2eqTBZIo
Every Breath You Take,HAUSER,,3:53,r7WEIbj93uY
Over the Rainbow (Official Video),Yo-Yo Ma,,3:40,03GpPfOsFkQ
Material Girl,Kris Bowers,Bridgerton Season Two (Covers from the Netflix Series),4:05,A3vH0yUOKbA
"thank u, next",Vitamin String Quartet,Vitamin String Quartet Performs the Hits of 2019,3:30,AB1T-68mes0
Lover,Dallas String Quartet,Love Always,3:27,Qqw6BgqZMcY
Señorita,Simply Three,,3:24,xd_UxJpxhbM
I Don't Care,2CELLOS,,3:42,ifq-GxtMXv0
Thunder,Thomas Mercier & Théo Croix,Bridgerton Season Three (Covers from the Netflix Series),3:08,Z7UhKBI3XzM
Snow On The Beach,Atwood Quartet,Bridgerton Season Three (Covers from the Netflix Series),4:13,g_CpVSSPgvw
Girls Like You,Vitamin String Quartet,"Vitamin String Quartet Performs the Hits of 2018, Vol. 2",3:26,ab2NulEEaLE
Give Me Everything,Archer Marsh,,2:13,EMDsNXx0yEo
Save Your Tears,Simply Three,,4:04,7kjJeexF-tQ
Demons,2CELLOS,,3:49,J1JFt-db-0M
"Let It Go (From ""Frozen"")",Royal Philharmonic Orchestra,Disney Goes Classical,3:44,czFWwZ4cNJs
Jealous,Shimmer,Bridgerton Season Three (Covers from the Netflix Series),3:34,2-vMVbmUTiY
